name_ballot,page_name,Total_Views,Total_Interactions,Total_Comments,Total_Post_Views,Total_Shares,Total_Likes,Total_Angy,party,party_abbrev,full_name,gender,race,education,occupation,received_funds,spent_funds,declared_wealth
A. MATTIELLO,,,,,,,,,Partido Trabalhista Brasileiro,PTB,ARMANDO MATTIELLO,Masculino,BRANCA,Superior completo,Produtor Agropecuário,"R$60.776,29","R$21.541,10",8533957
ADA FERREIRA,,,,,,,,,Partido Verde,PV,MARIA GERALDA FERREIRA,Feminino,PARDA,Superior completo,Psicólogo,"R$202.571,70","R$75.619,10",
ADAIR MOTORISTA PROJETO AJUDAR,Adair Motorista Ónibus,1349,432,104,494,60,263,0,Patriota,PATRIOTA,ADAIR JOSÉ DA SILVA,Masculino,PARDA,Ensino Fundamental completo,Motorista de Veículos de Transporte Coletivo de Passageiros,"R$15.225,14","R$0,00",
ADEMIR DO JUSTINÓPOLIS,,,,,,,,,Partido Social Cristão,PSC,ADEMIR SANTOS DE CARVALHO,Masculino,SEM INFORMAÇÃO,Ensino Fundamental completo,Outros,"R$30.000,00","R$13.119,20",31300000
ADRIANA BORGES,,,,,,,,,Partido Trabalhista Brasileiro,PTB,ADRIANA MARIA MOREIRA BORGES,Feminino,BRANCA,Superior completo,Empresário,"R$246.601,52","R$118.240,34",
ADRIANA MARRA,,,,,,,,,Partido Republicano da Ordem Social,PROS,ADRIANA MARRA DE PAULA,Feminino,BRANCA,Superior completo,Advogado,"R$200.000,00","R$0,00",9996249
ADRIANO NOVO TEMPO,,,,,,,,,Partido Republicano da Ordem Social,PROS,ADRIANO CÂNDIDO DA SILVA,Masculino,BRANCA,Ensino Fundamental incompleto,Outros,"R$20.000,00",,
ADRIANO ZAGO,Adriano Zago,180330,6597,1068,177736,507,4803,12,AVANTE,AVANTE,ADRIANO ZAGO,Masculino,BRANCA,Superior completo,Advogado,"R$343.525,00","R$97.604,20",91707323
ADRIENE PEREIRA,,,,,,,,,UNIÃO BRASIL,UNIÃO,ADRIENE PEREIRA ROCHA DOS SANTOS,Feminino,PRETA,Ensino Médio incompleto,Outros,"R$450.000,00","R$73.848,26",
AÉCIO NEVES,Aécio Neves,6090910,92313,38235,6077426,3359,35519,1054,Partido da Social Democracia Brasileira,PSDB,AÉCIO NEVES DA CUNHA,Masculino,BRANCA,Superior completo,Deputado,"R$3.153.334,55","R$2.130.363,32",194393343
