"";"page_name";"N_Posts";"Total_Views";"Total_Interactions";"Total_Comments";"Total_Post_Views";"Total_Shares";"Total_Likes";"Total_Angy"
"1";"Adair Motorista  Ónibus";33;817;316;52;399;35;228;0
"2";"Adriano Zago";172;180330;6279;1032;177736;506;4529;12
"3";"Alcione Marocolo";159;889;729;87;836;16;562;0
"4";"Alex Magalhães O Homem Do Povo";1;0;0;0;0;0;0;0
"5";"Alexandre Augusto Saúde";19;83;29;3;83;7;17;0
"6";"Alexandre Carmo";29;142;122;10;142;0;97;0
"7";"Alexandre Lima";5;0;56;1;0;2;47;0
"8";"Alexandre Magnus - Dep. Federal 1250";65;1473;699;54;998;102;526;0
"9";"Alê Silva";2017;17739996;2849296;284473;13155751;668495;1675006;20322
"10";"Amanda Ganem";150;11466;84805;7465;9524;6246;61803;76
"11";"Ana Granata";11;170;5223;1102;140;32;3666;46
"12";"Ana Paula Junqueira Leão";652;735653;78550;10776;692929;7646;54982;22
"13";"Ana Pimentel";139;298980;55975;14852;295448;2693;33722;361
"14";"Ana Pires Professora";1;0;2;0;0;1;1;0
"15";"Ana Valentini";332;585414;17232;2410;494465;698;13762;39
"16";"Anderson Coelho";73;125903;751;68;123568;18;640;1
"17";"Andrea LARA 3099";1;0;2;0;0;0;2;0
"18";"André Janones";493;85132161;25555599;4435148;71919093;2533328;15495112;98501
"19";"André Souza OBJ. Organização Brasileira dos Juristas";1;0;2;0;0;0;2;0
"20";"André Vilas Boas";104;1947059;94635;11892;1942341;3134;77284;253
"21";"André Vilela";73;666;2514;328;483;381;1654;1
"22";"Andréia Ribeiro";216;143787144;905;77;882;191;599;0
"23";"Antonio Roberto";17;1023130;66;4;29;5;56;0
"24";"Antônio Marcos Coldibelli Francisco";66;54403;207;33;53646;18;139;2
"25";"Apolo Federal 3070";96;323;699;56;222;94;517;1
"26";"Apolo Heringer";272;63043;7952;612;56348;1565;5263;4
"27";"Arcanjo Pimenta";24;104;1977;67;103;23;1864;0
"28";"Arnaldo Gontijo";101;2848;1114;69;2228;142;893;0
"29";"Arquimedes do Noroeste";829;327540;43121;6952;304332;4887;30441;20
"30";"Ataíde Taidinho";11;686;100;14;673;6;79;0
"31";"Aucioni Protetora";31;207;428;100;82;110;155;0
"32";"Aécio Neves";110;5953801;75659;34519;5944123;2246;25264;945
"33";"Bispo Damasceno";27;383;74;4;319;9;52;0
"34";"Boy Kempes   Aliança Pelo Brasil MG";684;60168776;17881;2046;34300;5073;9364;67
"35";"Braulio Braz";294;64264;35206;3620;56536;1328;29004;11
"36";"Bruno Alencar";57;10025;181;12;9353;40;128;0
"37";"Bruno Farias";156;152082;22820;3004;115622;3501;14749;62
"38";"Bruno Santos";308;3442604;18413;2334;266;3410;11513;2
"39";"Bruno 𝕄𝔸𝕊𝕊𝔸 3️⃣0️⃣3️⃣4️⃣";43;35049;2126;662;34965;40;1360;20
"40";"Cabo Cleines";46;148123;7365;982;106796;3115;2880;39
"41";"Cabo Junio Amaral";582;9393505;783051;61077;4257930;277166;323804;6007
"42";"Carcilei Soares";81;0;152;0;0;37;115;0
"43";"Carlinhos Rodrigues";69;31305;2625;276;30448;149;2042;2
"44";"Cassinha Carvalho";264;81029;6818;1159;79612;253;5225;6
"45";"Ceará do Cruzeiro";29;35;116;6;35;7;96;0
"46";"Cecília Ferramenta";215;557516;45648;5036;518415;6427;28934;141
"47";"Celso Donato";141;175388;8064;689;158635;2647;4310;7
"48";"Charlles Evangelista";781;4493637;498347;109682;4149152;70419;286435;1993
"49";"Chico Humberto";5;9425;4448;468;9399;107;3593;56
"50";"Chicão Sincero";75;2005;258;11;479;201;44;0
"51";"Cida Da feira 1545";11;2;2;0;1;1;0;0
"52";"Clariana Queiroz";384;5427652;5712;491;13321;680;4058;0
"53";"Clayton Mariano";8;5681;4;1;25;1;2;0
"54";"Cleiton Xavier";60;869;407;33;788;27;338;0
"55";"Cleusa Lara";406;46719;52674;7086;29811;9414;33567;10
"56";"Cláudio Parreiras";26;26255;581;56;25507;56;442;3
"57";"Conceição Arruda";177;5872;2498;679;5258;124;1481;0
"58";"Coronel Leal";1;0;0;0;0;0;0;0
"59";"Cristina Correa MG";38;699;308;36;624;83;169;1
"60";"Cristina Garvil";139;8478;1690;137;6585;65;1401;0
"61";"Cássia Ribeiro";172;76433;2354;248;68248;182;1554;1
"62";"Célia Xakriabá";760;69703;73724;4189;34344;9708;46219;221
"63";"Célio Ruela";4;18117;88;4;17089;25;57;0
"64";"Dandara Tonantzin";271;26928;13890;1977;15299;1548;7726;94
"65";"Daniel Cristiano Ipatinga";108;426;1517;113;423;45;1247;0
"66";"Daniel Giotti JF";66;1029;698;48;732;50;570;0
"67";"Dariê Dias";2;0;0;0;0;0;0;0
"68";"Deborah Rubiana";78;119703;1434;212;95510;94;1003;4
"69";"Delegada Ione";361;492943;330400;41868;375777;10869;254829;1388
"70";"Delegado Edvaldo Gomides 1995";40;2005506;282;22;321;63;193;0
"71";"Delegado Marcelo Freitas";536;2843174;111959;24283;408642;21156;56159;101
"72";"Delegado Wagner Sales";162;9076;17170;1368;7523;573;14596;10
"73";"Delei";130;154395;9961;1889;59408;2131;5477;6
"74";"Denilson Teixeira Arcos";148;146499;6655;1141;103140;381;4783;8
"75";"Denis Brasileiro";36;707;207;24;554;10;170;0
"76";"Deputada Federal Lucélia Aredes";5;0;20;6;0;0;13;0
"77";"Deputado Aelton";347;344267;29923;4859;308745;2453;21588;13
"78";"Deputado Bruno Braz";8;2;1;0;2;0;0;0
"79";"Deputado Federal Dimas Fabiano";404;249553;154988;33832;226551;6766;110277;78
"80";"Deputado Federal Leo Motta";288;3957862;816665;125350;3056698;237107;422904;2574
"81";"Deputado Federal Lincoln Portela";143;875093;817976;83411;761419;88502;601527;4432
"82";"Deputado Federal Mauro Lopes";173;17373;14198;2373;12667;866;10580;6
"83";"Deputado Federal Rodrigo de Castro";266;227207;29383;4738;200098;1715;22239;8
"84";"Deputado Federal Zé Silva";749;130743;45645;5653;82061;4888;33935;5
"85";"Deputado Glauber Paiva";5;0;7;0;0;0;7;0
"86";"Deputado Paulo Guedes";733;3764727;341215;78498;2553244;64271;167108;1805
"87";"Diego Andrade";308;450266;64923;6640;356393;8220;48102;31
"88";"Diney Lenon";126;658531;48199;12818;115532;3034;25506;222
"89";"Divino Pereira";95;6654;438;14;20;9;408;0
"90";"Djalma Bastos";15;195;30;1;159;7;22;0
"91";"Domingos Sávio";199;61269;20668;3328;50046;1140;15183;73
"92";"Dr Bernardo Norte";29;136;32;1;86;8;23;0
"93";"Dr. Bernardo Ramos";31;630318;3444;341;629834;139;2731;5
"94";"Dr. Carlos Eduardo Amaral";288;191524;21884;4740;187757;2360;13772;219
"95";"Dr. Dalto";47;43373;2222;355;42995;169;1560;2
"96";"Dr. Frederico";236;317525;181566;37509;280397;15697;120983;45
"97";"Dr. José Fernando";58;40730;1373;171;40462;69;1104;0
"98";"Dr. Lincoln Ferreira";162;15010;7498;795;13496;372;6099;5
"99";"Dr. Marcos Eduardo Oncologista";107;7562;1609;107;5784;130;1299;0
"100";"Dr. Mauro Condé";18;0;132;15;0;10;107;0
"101";"Dr. Mário Heringer";566;1568324;125351;18524;1519340;29470;73505;269
"102";"Dr. Sandro Lucio Gonçalves";458;4992561;531211;113451;4619996;77517;306590;8877
"103";"Dr. Vinícius";213;114528;58476;6510;109159;1793;48420;5
"104";"Dr. Wilson Koressawa";10;194;30;1;184;1;25;0
"105";"Dra. Paula Tomás";166;31113;507;42;31107;6;440;1
"106";"Drika Protetora";106;64183;11314;930;23907;2212;4719;35
"107";"Duarte Júnior";282;357828;49962;7157;311681;1881;37584;3
"108";"Duda Salabert";125;78834;61620;4286;58686;4342;38389;278
"109";"Débora Queiroz";68;52282;6404;2124;49546;280;3099;26
"110";"Délio Pinheiro";934;140640;74343;7101;123973;829;63472;8
"111";"Eder da TNT  9009";95;231400;2569;327;148056;468;1718;2
"112";"Edgard Luiz Mendonça";323;182706;2662;151;10690;619;1788;2
