name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Abadia Dos Dourados,"""Abadia Dos Dourados""",6272 ,1.4,21962.98,Triângulo Mineiro/Alto Paranaíba,Patrocínio,0.689,880.461 ,1.41 ,7.12 
Abaeté,"""Abaeté""",22675 ,1.6,23905.96,Central Mineira,Três Marias,0.698,1817.067 ,6.96 ,12.48 
Abre Campo,"""Abre Campo""",13927 ,1.5,16849.29,Zona da Mata,Manhuaçu,0.654,470.551 ,2.47 ,29.60 
Acaiaca,"""Acaiaca""",3909 ,1.6,14536.04,Zona da Mata,Ponte Nova,0.63,101.886 ,0.80 ,38.37 
Açucena,"""Açucena""",8943 ,1.5,14790.41,Vale do Rio Doce,Ipatinga,0.61,815.422 ,2.09 ,10.97 
Água Boa,"""Água Boa""",12589 ,1.6,12792.84,Vale do Rio Doce,Peçanha,0.576,1320.344 ,1.99 ,9.53 
Água Comprida,"""Água Comprida""",2108 ,2.7,80179.75,Triângulo Mineiro/Alto Paranaíba,Uberaba,0.675,492.167 ,1.17 ,4.28 
Aguanil,"""Aguanil""",4357 ,1.6,15825.97,Oeste de Minas,Campo Belo,0.663,232.091 ,1.72 ,18.77 
Águas Formosas,"""Águas Formosas""",18450 ,1.8,13197.5,Vale do Mucuri,Nanuque,0.645,820.079 ,3.16 ,22.50 
Águas Vermelhas,"""Águas Vermelhas""",14037 ,1.4,15777.06,Norte de Minas,Salinas,0.601,1256.607 ,3.65 ,11.17 
Aimorés,"""Aimorés""",25269 ,1.7,22980.65,Vale do Rio Doce,Aimorés,0.684,1348.913 ,5.58 ,18.73 
Aiuruoca,"""Aiuruoca""",6233 ,1.9,18907.82,Sul/Sudoeste de Minas,Andrelândia,0.668,649.680 ,1.29 ,9.59 
Alagoa,"""Alagoa""",2749 ,1.8,17278.61,Sul/Sudoeste de Minas,São Lourenço,0.649,161.356 ,0.53 ,17.04 
Albertina,"""Albertina""",2945 ,2,35219.86,Sul/Sudoeste de Minas,Poços de Caldas,0.673,58.010 ,0.89 ,50.77 
Além Paraíba,"""Além Paraíba""",30717 ,1.6,25413.78,Zona da Mata,Cataguases,0.726,510.250 ,5.85 ,60.20 
Alfenas,"""Alfenas""",78970 ,2.4,33843.71,Sul/Sudoeste de Minas,Alfenas,0.761,850.446 ,18.00 ,92.86 
Alfredo Vasconcelos,"""Alfredo Vasconcelos""",6931 ,1.8,16846.93,Campo das Vertentes,Barbacena,0.675,130.815 ,2.06 ,52.98 
Almenara,"""Almenara""",40364 ,1.7,15014.42,Jequitinhonha,Almenara,0.642,2294.426 ,8.47 ,17.59 
Alpercata,"""Alpercata""",6903 ,1.6,11761.69,Vale do Rio Doce,Governador Valadares,0.646,166.972 ,2.74 ,41.34 
Alpinópolis,"""Alpinópolis""",18300 ,1.8,22563.39,Sul/Sudoeste de Minas,Passos,0.725,460.685 ,4.02 ,39.72 
Alterosa,"""Alterosa""",13915 ,1.6,16697.58,Sul/Sudoeste de Minas,Alfenas,0.668,362.010 ,2.86 ,38.44 
Alto Caparaó,"""Alto Caparaó""",5795 ,1.7,14345.03,Zona da Mata,Manhuaçu,0.661,103.690 ,1.15 ,55.89 
Alto Jequitibá,"""Alto Jequitibá""",8397 ,1.7,13410.81,Zona da Mata,Manhuaçu,0.66,152.272 ,1.79 ,55.14 
Alto Rio Doce,"""Alto Rio Doce""",10891 ,1.7,16495.73,Zona da Mata,Viçosa,0.62,518.053 ,2.37 ,21.02 
Alvarenga,"""Alvarenga""",3973 ,1.7,12676.05,Vale do Rio Doce,Aimorés,0.592,278.175 ,0.70 ,14.28 
Alvinópolis,"""Alvinópolis""",15059 ,1.7,22118.38,Metropolitana de Belo Horizonte,Itabira,0.676,599.443 ,2.81 ,25.12 
Alvorada De Minas,"""Alvorada De Minas""",4159 ,2,16937.26,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.572,374.008 ,1.15 ,11.12 
Amparo Do Serra,"""Amparo Do Serra""",4541 ,1.6,10829.79,Zona da Mata,Viçosa,0.641,136.186 ,0.74 ,33.34 
Andradas,"""Andradas""",40548 ,1.8,24564.51,Sul/Sudoeste de Minas,Poços de Caldas,0.734,469.396 ,8.77 ,86.38 
Andrelândia,"""Andrelândia""",11927 ,1.6,20418.04,Sul/Sudoeste de Minas,Andrelândia,0.7,1005.285 ,2.57 ,11.86 
Angelândia,"""Angelândia""",7718 ,1.7,13531.54,Jequitinhonha,Capelinha,0.597,185.211 ,1.53 ,41.67 
Antônio Carlos,"""Antônio Carlos""",11095 ,1.8,17162.33,Campo das Vertentes,Barbacena,0.683,529.915 ,3.47 ,20.94 
Antônio Dias,"""Antônio Dias""",9219 ,1.6,42370.18,Vale do Rio Doce,Ipatinga,0.645,787.061 ,1.58 ,11.71 
Antônio Prado De Minas,"""Antônio Prado De Minas""",1538 ,2,16753.38,Zona da Mata,Muriaé,0.684,83.802 ,0.22 ,18.35 
Araçaí,"""Araçaí""",2181 ,2,24321.01,Metropolitana de Belo Horizonte,Sete Lagoas,0.695,187.538 ,1.23 ,11.63 
Aracitaba,"""Aracitaba""",2049 ,1.9,13382.42,Zona da Mata,Juiz de Fora,0.661,106.608 ,0.42 ,19.22 
Araçuaí,"""Araçuaí""",34297 ,1.6,13441.04,Jequitinhonha,Araçuaí,0.663,2236.279 ,8.68 ,15.34 
