"doc_id","page_name.y","ad_creative_bodies.y"
"doc266","michelly siqueira advogada","13º para o bpc 

como todos voces sabem a grande luta da minha vida sempre foi por melhoria na qualidade de vida das pessoas com deficiencia, doencas raras e idosos. alem de trabalhar pela desvinculacao da renda como criterio para concessao do bpc, tambem vou lutar para que essa pessoa com que tem direito ao beneficio receba o 13º salario bpc. 

os custos de uma pessoa idosa, com deficiencia ou doenca rara, sao extrema altos e a falta de apoio do poder publico sao pontos fundamentais para que essas pessoas recebem o 13º e possam ter mais dignidade em suas vidas. 

vote por quem sempre esteve ao seu lado, vote pelo 13º bpc. vote 7⃣0⃣4⃣4⃣ michelly siqueira deputada federal. 

➡️ marque +05 amigos que precisam do 13º bpc. 
➡️ compartilhe nos grupos de familias e pessoas com deficiencia. 
➡️ compartilhe com amigos e familiares. 

#bpc #loas #mg #bh #autismo #pessoacomdeficiencia #tdah #michellysiqueiraadvogada #luta #dignidade #familia #renda"
"doc299","igor timo","amigos e amigas de machado, com a conviccao do dever cumprido, venho aqui renovar o meu desejo de continuar representando minas gerais no congresso nacional. 
indiquei r$ 450 mil para a cidade, que melhoraram a vida do povo machadense. 
vamos juntos continuar trabalhando pelo brasil e muito mais por minas gerais! por isso, peco mais uma vez a confianca do seu voto."
"doc343","fernando pimentel","ola meu amigo e minha amiga da passos 
na camara dos deputados, vamos ajudar lula a reconstruir o brasil.

precisamos de uniao para recuperar minas gerais.

dia 02 de outubro, precisamos escolher a democracia. 

o brasil precisa de lula.

conto com o seu apoio. 

encaminhe este video para seus amigos e parentes."
"doc387","dr. mario heringer","recebi um comunicado da faemg que me deixou preocupadissimo! 

lutamos fortemente para que os municipios de bandeira, felisburgo, jacinto, jordania, mata verde, rubim, salto da divisa e santa maria do salto fossem incorporados a sudene, mas seu conselho deliberativo - condel - agora se prepara para a exclusao dessas cidades. um absurdo! 

encaminhei um oficio a superintendencia afirmando que a justificativa deles nao esta correta e que nos vamos brigar por essa causa! 

vamos nos unir em prol de minas gerais e dos nossos direitos! 

para que eu possa continuar nessa batalha, peco seu voto para deputado federal: mario heringer 1234!

#sudene #minasgerais #buscadosnossosdireitos #vote1234 #marioheringer"
"doc425","fernando pimentel","ola meu amigo e minha amiga da passos 
na camara dos deputados, vamos ajudar lula a reconstruir o brasil.

precisamos de uniao para recuperar minas gerais.

dia 02 de outubro, precisamos escolher a democracia. 

o brasil precisa de lula.

conto com o seu apoio. 

encaminhe este video para seus amigos e parentes."
"doc484","aecio neves","aecio fez o proacesso e o asfalto chegou pra voce em bandeira! 

✅quem ja fez muito por minas gerais, vai fazer muito mais! deputado federal e aecio 4500."
"doc487","eduardo tardiole","quais razoes me fizeram candidatar a deputado federal?

desde a adolescencia fui engajado com questoes sociais. em 2017 quando iniciamos o projeto acao da cidadania, na cidade de machado, imaginava que seria um projeto momentaneo. 

mas, desde o dia 15 de novembro daquele ano, apos o lancamento da campanha natal sem fome, ate hoje, nao tem um diaa da minha vida, que nao seja dedicado a lutar contra a fome e a miseria. 

assista o video da minha entrevista na radio difusora live e saiba mais sobre as razoes que me fizeram a candidatar!

#vamoqvamo #politica #deputadofederal #candidato #povo #fome #sustentabilidade #educacao #minasgerais #estado #pais #eleicao"
"doc532","paulo abi-ackel","registros da noite de ontem, em ouro preto, cidade de imensa contribuicao historica para minas gerais, onde eu tenho a honra de ser votado e contar com o apoio dos ex-prefeitos julio pimenta e jose leandro, vereadores mercinho, naercio e luciano, ex-vereadores e diversas liderancas politicas reconhecidas pelo trabalho que fazem em prol do desenvolvimento da regiao dos inconfidentes.
confira no video cada detalhe do nosso encontro!"
"doc556","igor timo","amigos e amigas de machado, com a conviccao do dever cumprido, venho aqui renovar o meu desejo de continuar representando minas gerais no congresso nacional. 
indiquei r$ 450 mil para a cidade, que melhoraram a vida do povo machadense. 
vamos juntos continuar trabalhando pelo brasil e muito mais por minas gerais! por isso, peco mais uma vez a confianca do seu voto."
"doc606","ana valentini","🔶conheca o #timevalentia 

esta e minha parceira de jornada elaine maia (@elainemaiaadv) e advogada e mae, natural de passos, filha do empreendedor e militar, nascimento e da inspetora escolar, terezinha maia, muito atuantes na comunidade, que a ensinaram a importancia do estudo, trabalho duro e do voluntariado. decidiu ser candidata a deputada estadual, pois percebeu que, de nada adianta ter boas ideias, bons projetos, se quem faz as leis nao quiser implementar, e e por isso que ela quer estar la na assembleia de minas gerais.

🔶 comite elaine maia - rua jose mechioratto, nº 150 - santa casa. passos - mg
rua la salles, nº 277a - sao sebastiao do paraiso - mg

pra seguir no rumo certo e 3⃣0⃣ de novo zema governador!
ana valentini e 3038 para deputada federal!
elaine maia e 30123 para deputada estadual!

valentia para fazer diferente!
minas gerais precisa de voce!
minas gerais precisa da gente!

#anavalentini #deputadafederal #minasgerais #valentiaprafazerdiferente #sensibilidadeprafazeradiferenca"
