"";"full_name";"name_ballot";"page_name";"party";"party_abbrev";"gender";"race";"education";"occupation";"received_funds";"spent_funds";"NM_URNA_CANDIDATO";"NM_MUNICIPIO_NASCIMENTO"
"1";"ARMANDO MATTIELLO";"A. MATTIELLO";NA;"Partido Trabalhista Brasileiro";"PTB";"Masculino";"BRANCA";"Superior completo";"Produtor Agropecuário";"R$60.776,29";"R$21.541,10";"A. MATTIELLO";"SÃO JOÃO DA BOA VISTA"
"2";"MARIA GERALDA FERREIRA";"ADA FERREIRA";NA;"Partido Verde";"PV";"Feminino";"PARDA";"Superior completo";"Psicólogo";"R$202.571,70";"R$75.619,10";"ADA FERREIRA";"BELO HORIZONTE"
"3";"ADAIR JOSÉ DA SILVA";"ADAIR MOTORISTA PROJETO AJUDAR";"Adair Motorista Ónibus";"Patriota";"PATRIOTA";"Masculino";"PARDA";"Ensino Fundamental completo";"Motorista de Veículos de Transporte Coletivo de Passageiros";"R$15.225,14";"R$0,00";"ADAIR MOTORISTA PROJETO AJUDAR";"BELO HORIZONTE"
"4";"ADEMIR SANTOS DE CARVALHO";"ADEMIR DO JUSTINÓPOLIS";NA;"Partido Social Cristão";"PSC";"Masculino";"SEM INFORMAÇÃO";"Ensino Fundamental completo";"Outros";"R$30.000,00";"R$13.119,20";"ADEMIR DO JUSTINÓPOLIS";"CONTAGEM"
"5";"ADRIANA MARIA MOREIRA BORGES";"ADRIANA BORGES";NA;"Partido Trabalhista Brasileiro";"PTB";"Feminino";"BRANCA";"Superior completo";"Empresário";"R$246.601,52";"R$118.240,34";"ADRIANA BORGES";"BELO HORIZONTE"
"6";"ADRIANA MARRA DE PAULA";"ADRIANA MARRA";NA;"Partido Republicano da Ordem Social";"PROS";"Feminino";"BRANCA";"Superior completo";"Advogado";"R$200.000,00";"R$0,00";"ADRIANA MARRA";"BELO HORIZONTE"
"7";"ADRIANO CÂNDIDO DA SILVA";"ADRIANO NOVO TEMPO";NA;"Partido Republicano da Ordem Social";"PROS";"Masculino";"BRANCA";"Ensino Fundamental incompleto";"Outros";"R$20.000,00";NA;"ADRIANO NOVO TEMPO";"CONQUISTA"
"8";"ADRIANO ZAGO";"ADRIANO ZAGO";"Adriano Zago";"AVANTE";"AVANTE";"Masculino";"BRANCA";"Superior completo";"Advogado";"R$343.525,00";"R$97.604,20";"ADRIANO ZAGO";"UBERLÂNDIA"
"9";"ADRIENE PEREIRA ROCHA DOS SANTOS";"ADRIENE PEREIRA";NA;"UNIÃO BRASIL";"UNIÃO";"Feminino";"PRETA";"Ensino Médio incompleto";"Outros";"R$450.000,00";"R$73.848,26";"ADRIENE PEREIRA";"CARLOS CHAGAS"
"10";"AÉCIO NEVES DA CUNHA";"AÉCIO NEVES";"Aécio Neves";"Partido da Social Democracia Brasileira";"PSDB";"Masculino";"BRANCA";"Superior completo";"Deputado";"R$3.153.334,55";"R$2.130.363,32";"AÉCIO NEVES";"BELO HORIZONTE"
