"Population";"Post_Counts";"Ads_Counts"
6272;7;0
22675;58;7
13927;23;3
3909;46;4
8943;28;2
12589;15;0
2108;8;1
4357;38;25
18450;16;7
14037;8;2
25269;49;1
6233;1;5
2749;58;21
2945;17;6
30717;38;5
78970;710;133
6931;20;4
40364;66;10
6903;0;0
18300;58;3
13915;253;43
5795;5;2
10891;23;6
3973;47;7
15059;51;4
4159;8;2
4541;4;0
40548;48;7
9110;3;1
11927;16;12
7718;3;2
11095;36;14
9219;30;3
1538;10;5
2181;6;0
2049;6;3
34297;127;13
117808;213;26
2915;4;0
8048;16;9
8479;23;1
2631;0;3
9199;16;1
111691;513;52
9177;72;6
41417;1045;163
13881;148;7
2688;16;2
4719;6;1
17272;175;16
14138;16;2
13736;11;1
4538;23;3
18366;76;34
7492;18;3
23546;21;1
4741;28;2
5943;0;0
30778;20;6
4964;4;0
125317;238;27
5666;18;0
20080;160;12
10167;19;0
3244;6;2
2315560;1811;212
23928;19;5
8627;31;20
9826;18;8
4451;3;2
4201;13;7
411859;1071;54
3361;7;5
13978;130;5
2383;11;2
39848;74;12
5348;9;7
48032;117;4
51737;33;2
6783;18;11
4474;17;2
5631;4;0
14537;21;0
12649;16;4
17151;25;1
7434;24;2
5528;18;3
10204;17;1
17404;26;6
14828;146;6
5790;11;3
15020;14;4
32025;57;2
4260;15;2
4441;6;1
14246;18;8
38915;365;72
10911;20;115
9150;14;1
4041;14;3
24034;185;13
23910;32;6
6627;25;2
11410;24;2
3693;6;0
11884;8;6
2315;9;0
11435;25;0
38776;93;10
5304;2;3
4088;15;2
14217;426;28
2838;32;22
26097;47;5
29536;23;3
12313;37;7
2923;5;0
15935;4;10
20696;97;2
18011;54;2
3714;7;1
52277;40;14
11377;20;3
8466;21;3
12979;9;3
26105;25;15
4715;52;5
10608;31;2
5272;21;2
14001;60;49
3974;3;0
5048;112;26
4362;8;7
39624;60;18
6562;7;0
10663;20;6
14655;44;3
4585;3;3
14108;20;0
10380;142;16
8936;11;7
19548;10;9
2933;13;0
23812;92;20
31240;40;6
87360;177;8
8512;9;0
6816;7;0
18615;12;1
2605;4;0
11547;10;4
11019;15;4
13797;29;19
23479;33;0
29011;12;1
20954;18;0
17878;15;1
9422;26;2
4049;18;4
3341;18;4
4422;14;4
2214;22;0
2712;5;1
17155;177;13
3560;13;4
66261;125;26
5473;19;3
3110;0;0
7030;10;1
4739;18;3
21056;86;14
1081;0;1
6171;20;3
10207;17;1
3075;88;5
6075;9;0
10337;15;4
12355;19;3
2800;1;2
5581;14;0
4658;24;3
7166;10;1
30159;242;21
7117;48;5
8163;105;1
2773;18;3
6660;24;3
10371;14;2
2772;17;16
28381;24;5
4409;8;1
23162;25;14
5415;10;0
12541;18;13
10880;10;2
7237;23;9
7350;23;4
11083;45;13
52890;216;34
4831;0;0
6694;12;0
131621;164;25
20824;9;2
1563;18;5
621865;904;69
9023;25;23
25377;30;3
7547;37;4
3200;13;5
23532;45;3
10884;4;0
28894;56;8
104736;122;13
8200;3;3
2762;7;2
3486;8;3
2960;11;2
4272;3;0
6133;17;0
2875;9;0
4245;5;2
5265;13;6
12197;22;3
5121;8;1
4667;19;0
10374;0;3
5434;18;0
3521;4;2
15362;42;9
3983;6;1
7406;11;2
80352;147;31
5465;225;20
7952;20;5
8397;18;0
10494;36;3
4928;34;2
7653;2;2
2994;14;5
47702;125;10
3549;3;0
6847;31;5
4226;19;0
20706;65;8
4178;0;0
6516;0;0
231091;0;0
6321;11;1
5851;18;3
10213;15;17
3697;30;7
4904;9;0
4899;3;2
5228;14;0
3095;13;4
6093;4;0
10007;24;0
5029;2;0
12630;9;2
4987;12;4
1461;1;2
1829;6;2
7817;17;0
26336;33;10
13622;5;0
6354;26;2
5179;7;1
14746;22;2
20255;26;0
85594;121;6
24102;20;4
30443;237;4
6611;8;1
11502;272;9
2186;10;0
2772;1;0
6840;7;2
10801;25;4
3875;6;2
53482;22;14
2578;215;22
3188;8;0
5133;5;3
3032;5;4
6489;16;6
13978;26;5
2789;1;2
9590;18;0
10445;10;1
8045;43;11
68248;202;27
7949;30;3
3477;6;0
3093;3;1
7366;7;3
4503;19;1
23476;34;7
5034;8;3
5640;2;3
8226;6;0
3391;4;5
14533;94;6
4345;0;0
4647;9;1
58588;161;10
4686;13;0
6222;47;1
4793;10;1
2928;9;0
2830;1;1
4053;17;2
4736;0;5
5230;225;0
11331;25;2
257172;220;18
13901;36;6
1392;10;2
32244;23;2
13772;12;0
9753;28;5
5051;29;2
19150;94;19
7714;98;2
3149;17;2
6539;15;1
50911;336;50
7131;38;3
8478;17;1
7778;13;5
5192;32;1
6134;12;0
12030;57;1
5198;12;2
22229;47;7
6286;0;0
5081;16;2
10948;28;2
170387;96;22
3365;10;0
2698;28;0
10677;9;1
45847;76;11
10830;10;0
6826;15;1
7003;11;2
12741;67;40
6986;16;1
7301;73;11
6346;9;3
6171;11;0
2580;4;3
22692;42;2
6239;4;0
7371;17;0
17136;20;4
19522;51;0
227731;672;54
3775;27;1
9135;15;2
7180;12;1
113343;168;35
10362;12;1
53282;60;23
4252;18;1
17208;50;3
13846;35;0
10463;9;3
93073;181;54
32948;25;0
3690;8;2
21042;16;3
2142;0;2
10770;32;0
14786;44;13
15236;88;20
11128;7;3
19151;25;11
13690;53;3
20984;152;1
12692;30;13
12966;14;0
14406;18;4
97669;158;8
5642;20;4
13745;20;5
6052;12;2
102217;284;11
6635;16;4
38295;103;5
4217;9;1
20406;42;15
11042;54;4
7495;82;4
25525;57;26
3092;10;1
37660;71;5
4296;5;0
70699;110;8
65130;216;9
4508;38;0
8127;35;0
6197;15;0
6100;6;2
12419;8;0
6484;16;1
5883;21;0
24002;488;30
5138;27;13
13888;16;2
4329;7;3
80187;75;9
46801;162;10
3854;13;1
10304;11;3
3969;3;4
4268;4;0
3630;2;1
5909;15;0
30716;30;2
540756;1194;153
3768;37;2
11084;79;12
5789;19;2
14375;8;5
6631;9;2
51412;43;6
3313;7;2
12769;35;6
18904;10;9
8969;27;6
75145;98;8
20835;22;0
20414;54;12
3184;22;0
5963;27;5
7124;27;1
104761;644;59
3199;12;1
4341;23;6
51145;153;66
4737;9;8
17221;30;9
8687;16;2
8790;44;1
6956;18;0
6210;7;1
5586;10;3
17875;5;6
6487;5;8
37684;43;29
5191;8;2
17516;27;8
5997;10;1
18886;189;4
91886;153;13
20610;47;1
26535;26;2
7333;27;2
12721;10;1
14247;27;23
61387;450;35
4224;4;1
15861;28;2
3387;4;3
4592;16;1
3200;12;5
14003;17;0
8396;9;0
9113;9;3
3963;1;0
37841;19;5
14121;40;9
8895;22;0
18552;24;0
12038;11;3
37618;60;6
3814;0;0
3900;125;17
20156;28;6
5606;7;0
10373;38;4
5040;64;7
24405;16;7
3741;12;4
13651;41;2
8968;10;2
13633;26;12
3985;12;2
5125;102;4
7548;36;0
2169;4;2
8340;6;1
14060;39;2
20170;18;3
20328;23;2
13046;30;3
47689;71;7
4381;6;2
20890;26;0
414240;718;35
24089;28;8
6888;39;2
9066;9;0
2411;9;0
3133;6;4
7451;6;1
104108;330;44
27635;19;1
21891;120;6
2459;4;2
35038;14;0
6303;466;56
3520;9;3
4691;31;6
8179;24;0
25018;64;11
10588;9;4
3151;4;1
17438;72;3
111697;363;10
3663;6;1
14598;14;1
6706;16;0
16387;48;4
105552;51;0
26975;19;4
10275;4;4
4571;9;1
1945;31;17
5385;0;0
2555;10;2
39262;538;43
2027;0;0
2969;3;0
4917;42;0
8437;10;0
38724;87;8
32094;31;2
74824;245;30
5757;2;2
5058;7;2
17334;23;3
4224;18;0
8142;12;0
5551;10;1
1474;1;2
5707;72;2
6301;4;3
13920;16;2
94017;537;50
97139;101;6
21723;116;38
20445;38;11
24107;183;11
1600;3;3
15515;35;12
8473;15;0
2233;8;0
111939;103;95
4837;10;3
159235;146;10
89826;179;19
5576;0;0
8659;10;4
4389;5;1
8047;15;2
17446;15;0
24410;14;1
7320;9;0
3311;6;0
4112;10;0
2757;12;4
10760;21;2
10452;26;12
3344;27;1
62580;34;1
1810;10;12
3351;4;2
4155;123;70
12268;6;0
17151;25;1
21384;16;1
6553;15;0
3570;228;16
2796;25;0
8529;15;1
3976;1;0
4604;11;5
5019;4;1
8563;15;4
4706;0;0
7084;24;3
6700;14;0
5537;28;3
17018;136;15
6041;47;25
9120;28;9
11077;57;5
55606;152;5
11610;21;2
26685;22;0
36062;49;22
11145;41;2
16388;54;5
163742;241;37
8350;10;0
31047;98;2
57776;97;15
3747;3;2
10883;10;4
37438;118;4
10569;6;0
13666;612;60
152212;90;12
6566;6;1
9048;48;2
28342;179;25
8406;0;0
3559;5;1
4850;8;1
3465;6;5
3071;3;0
18765;14;1
8397;4;0
11466;15;0
3179;3;3
1770;14;0
16279;37;5
23423;20;1
11007;22;3
7848;23;2
11230;36;6
17226;9;0
4548;19;4
6863;25;6
8756;19;1
329794;144;24
4080;1;0
10261;33;6
12789;26;1
2484;194;13
4639;2;4
5429;19;1
5568;9;0
8518;4;2
14532;19;1
28271;45;12
14631;15;1
17443;39;3
5141;16;5
12638;5;0
4994;9;0
2291;4;2
8664;27;7
3386;62;6
4734;4;2
5679;7;4
10298;15;3
129372;228;9
14240;32;4
26670;60;2
40178;184;8
6110;16;3
30466;54;14
8458;0;0
3095;0;0
4208;0;0
8109;14;3
3910;7;2
4673;7;1
4039;0;0
3522;12;3
5938;2;2
15734;21;1
218805;209;14
16395;13;5
10491;5;0
4755;3;4
12788;10;0
6639;12;1
3489;15;4
7030;2;0
3747;6;4
2137;5;4
4214;11;2
8987;5;1
44800;28;5
5313;3;2
3469;15;2
8460;19;0
4755;10;9
6773;6;3
3301;0;0
5826;4;0
40635;12;1
3382;2;0
20973;30;1
17285;31;4
3769;3;0
4229;0;0
3915;10;4
